"1_71","2_71","3_71","4_71","5_71","6_71"
NA,0,NA,0,NA,NA
NA,0,NA,0,NA,NA
NA,0,NA,0,NA,NA
NA,0,NA,0,NA,NA
NA,0,NA,0,NA,NA
NA,0,NA,0,NA,NA
NA,0,NA,0,NA,NA
NA,0,NA,NA,NA,NA
NA,0,NA,NA,NA,NA
NA,0,NA,NA,NA,NA
